gene	circuit_class	topology_type	description	evidence_source	confidence
N6AMT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAA10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAA25	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAA35	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAA38	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAA50	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAE1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NAGLU	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NBAS	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NCAPD3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NCAPH	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NCBP1	I	feed_forward_target	regulated by 1 TFs (UPF1), no feedback role	TRRUST_topology	medium
NCBP2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NCKAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFA8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFAB1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFB3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFB4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFB7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFB8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NDUFS3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NEDD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NELFA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NELFB	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
NELFE	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NFATC2IP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NFS1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NHLRC2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NHP2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NIP7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NLE1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NOL6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NOLC1	I	feed_forward_target	regulated by 3 TFs (CREB1, NFKB1, RELA), no feedback role	TRRUST_topology	medium
NOP10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NOP58	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NPEPPS	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NPLOC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NPM3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NR2C2AP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NRBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NSA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NSL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NSMCE1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NSMCE2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NSRP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUDC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUDCD3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUFIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUMA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUP107	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUP133	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUP35	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUP85	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUP98	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NUTF2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
NXF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
OGFOD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
OPA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ORC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ORC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ORC5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ORC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
OSTC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
OXA1L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PAF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PAFAH1B1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PARN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PAXBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PCF11	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PCNA	I	feed_forward_target	regulated by 17 TFs (AHR, ATM, CDX1...), no feedback role	TRRUST_topology	medium
PDAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PDCD2	I	feed_forward_target	regulated by 1 TFs (BCL6), no feedback role	TRRUST_topology	medium
PDCD6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PDCD7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PDRG1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PELP1	I	feed_forward_target	regulated by 3 TFs (DACH1, ESR1, ESR2), no feedback role	TRRUST_topology	medium
PES1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PET117	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PFDN2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PFDN5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PFDN6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PFN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PGAM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PGPEP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PGS1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PHAX	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PHF12	V	chromatin_modifier	encodes chromatin/epigenetic modifier	gene_function	medium
PIAS4	I	feed_forward_tf	TF with 2 known targets, no detected feedback	TRRUST_topology	medium
PIGH	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PIK3C3	II	negative_feedback	VPS34 autophagy/mTOR regulatory loop	pathway_annotation	medium
PLRG1	I	feed_forward_target	regulated by 1 TFs (CDC5L), no feedback role	TRRUST_topology	medium
PMPCA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PNISR	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLD1	I	feed_forward_target	regulated by 2 TFs (SP1, TP53), no feedback role	TRRUST_topology	medium
POLD3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLE	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLE2	I	feed_forward_target	regulated by 2 TFs (NFIC, SP1), no feedback role	TRRUST_topology	medium
POLR1B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2C	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2E	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2F	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR2L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR3H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POLR3K	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POP4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POP5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
POP7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPARGC1B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPIH	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPIL2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPIL4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPME1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPP1CA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPP1R2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPP1R8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPP4C	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PPP6C	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRIM2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRKRIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF18	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF19	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF40A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PRPF6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMA3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMB1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMB5	I	feed_forward_target	regulated by 1 TFs (STAT3), no feedback role	TRRUST_topology	medium
PSMB6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMD11	I	feed_forward_target	regulated by 1 TFs (FOXO4), no feedback role	TRRUST_topology	medium
PSMD12	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMD13	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMD6	I	feed_forward_target	regulated by 1 TFs (BRCA2), no feedback role	TRRUST_topology	medium
PSMD7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMD9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSME1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSME2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSMG1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PSTK	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PTMA	I	feed_forward_tf	TF with 4 known targets, no detected feedback	TRRUST_topology	medium
PTPMT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PTPN23	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
PXN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
QRSL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RAB6A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RAC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RACGAP1	I	feed_forward_target	regulated by 2 TFs (CUX1, E2F1), no feedback role	TRRUST_topology	medium
RAD17	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RAD51	III	positive_feedback_loop	positive feedback loop (RAD51 → SP1 → AR → EP300 → RAD51)	TRRUST_motif	high
RAD51C	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RAD51D	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RANGAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBBP6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBBP8	I	feed_forward_target	regulated by 2 TFs (YBX1, ZNF350), no feedback role	TRRUST_topology	medium
RBM10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBM14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBM17	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBM25	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBM28	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBM4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RBMX	I	feed_forward_tf	TF with 8 known targets, no detected feedback	TRRUST_topology	medium
RBX1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RCC1	I	feed_forward_target	regulated by 1 TFs (MYC), no feedback role	TRRUST_topology	medium
RCL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
REV3L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
REXO2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RFC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RFT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RHOQ	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RINT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RIOK2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RMI1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RNF14	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
RNF40	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RNF8	I	feed_forward_target	regulated by 1 TFs (CHD4), no feedback role	TRRUST_topology	medium
RNGTT	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RNMT	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RNPC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RNPS1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ROMO1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPA2	I	feed_forward_target	regulated by 1 TFs (E2F1), no feedback role	TRRUST_topology	medium
RPAP2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPE	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL13	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL24	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL30	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL34	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL36A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL36AL	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL37	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPL9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPLP0	I	feed_forward_target	regulated by 1 TFs (EZH2), no feedback role	TRRUST_topology	medium
RPLP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPLP2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPN2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPP14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS12	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS15A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS16	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS18	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS19BP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS23	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS26	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS27	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS29	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS3A	I	feed_forward_target	regulated by 3 TFs (GABPA, GABPB2, SP1), no feedback role	TRRUST_topology	medium
RPS4X	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RPS9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RRM1	I	feed_forward_target	regulated by 2 TFs (E2F1, TFDP1), no feedback role	TRRUST_topology	medium
RSL1D1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RTCB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RTEL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RTTN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
RUVBL1	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
SAE1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SAP130	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SASS6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SCAP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SCNM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SDAD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SDHA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SDHAF2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SDHC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SEC61A1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SEH1L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SEPHS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SERBP1	I	feed_forward_target	regulated by 2 TFs (SOX17, USF1), no feedback role	TRRUST_topology	medium
SF3A2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SF3B2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SF3B3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SFPQ	I	feed_forward_tf	TF with 6 known targets, no detected feedback	TRRUST_topology	medium
SIN3A	I	feed_forward_tf	TF with 2 known targets, no detected feedback	TRRUST_topology	medium
SKA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SLC25A3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SLC39A7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SLC39A9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SLU7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SMAGP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SMARCB1	V	self_modifying	SWI/SNF chromatin remodeling	literature	high
SMC1A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SMC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SMC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SMUG1	I	feed_forward_target	regulated by 1 TFs (NFIC), no feedback role	TRRUST_topology	medium
SNAPC1	I	feed_forward_target	regulated by 2 TFs (POU2F1, SP1), no feedback role	TRRUST_topology	medium
SNAPC2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNAPC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRNP200	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRNP25	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRNP48	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRNP70	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRPA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRPD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRPD3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRPF	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNRPG	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SNUPN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SON	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SP2	I	feed_forward_tf	TF with 9 known targets, no detected feedback	TRRUST_topology	medium
SPATA5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SPATA5L1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SPC25	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SPRTN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SPTSSA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRF	I	feed_forward_tf	TF with 25 known targets, no detected feedback	TRRUST_topology	medium
SRFBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRP14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRP19	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRP9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRRT	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRSF10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SRSF6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SSBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SSBP3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SSRP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SSU72	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
STARD7	I	feed_forward_target	regulated by 3 TFs (CTNNB1, NR5A1, TCF7L2), no feedback role	TRRUST_topology	medium
STIL	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
STRAP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SUGP1	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
SUMO2	I	feed_forward_target	regulated by 1 TFs (MTA1), no feedback role	TRRUST_topology	medium
SUPT5H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SUPT6H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SUPV3L1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SURF6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SYF2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
SYS1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TADA3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TAF12	I	feed_forward_target	regulated by 2 TFs (ATF7, ETS1), no feedback role	TRRUST_topology	medium
TAF1D	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TAF2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TAF7	I	feed_forward_target	regulated by 2 TFs (SP1, TFAP2A), no feedback role	TRRUST_topology	medium
TBCA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TBCC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TCERG1	I	feed_forward_target	regulated by 1 TFs (SF1), no feedback role	TRRUST_topology	medium
TERF1	I	feed_forward_target	regulated by 1 TFs (ATM), no feedback role	TRRUST_topology	medium
TERF2	I	feed_forward_target	regulated by 1 TFs (SP1), no feedback role	TRRUST_topology	medium
TEX10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TFB2M	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TFDP1	IV	feedback_loop_oscillatory	cycle with ≥2 repressions (TFDP1 → TP53 → CTNNB1 → RB1 → TFDP1)	TRRUST_motif	high
THAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
THOC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
THOC7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TIMM13	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TIMM22	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TIMM23B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TINF2	I	feed_forward_target	regulated by 1 TFs (SP1), no feedback role	TRRUST_topology	medium
TIPIN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TLCD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TMEM258	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TMSB10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TOMM20	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TOMM22	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TOP3A	I	feed_forward_target	regulated by 3 TFs (USF1, USF2, YY1), no feedback role	TRRUST_topology	medium
TP53RK	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TPR	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRA2B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRAPPC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRAPPC8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRIAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRMT10C	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRMT5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRPM7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TRRAP	I	feed_forward_tf	TF with 2 known targets, no detected feedback	TRRUST_topology	medium
TSEN34	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TSFM	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TSR2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TTC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TTC27	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TTC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TUBD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TUBGCP6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TUT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
TXN	I	feed_forward_target	regulated by 3 TFs (HSF2, JUN, PPARD), no feedback role	TRRUST_topology	medium
TXNL4B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
U2SURP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBA5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBA52	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBAP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
